,year,quarter,title,studio,castcrew,link_en
34,1991,Q4,An American Tail: Fievel Goes West,Universal Pictures / Amblimation,"Phil Nibbelink, Simon Wells (director); Flint Dille (screenplay); Phillip Glasser, James Stewart, Erica Yohn, Cathy Cavadini, Nehemiah Persoff, Dom DeLuise, Amy Irving, John Cleese, Jon Lovitz, Jack Angel, Fausto Bara, Vanna Bonta, Philip L. Clarke, Jennifer Darling, Annie Holliday, Sherry Lynn, Lev Mailer, Mickie McGowan, Larry Moss, Nigel Pegram, Patrick Pinney, Lisa Raggio, Lawrence Steffan, David Tate, Robert Watts, Phil Nibbelink, Simon Wells",/wiki/An_American_Tail:_Fievel_Goes_West
35,1991,Q4,Beauty and the Beast,Walt Disney Pictures,"Gary Trousdale, Kirk Wise (director); Linda Woolverton (screenplay); Paige O'Hara, Robby Benson, Richard White, Jerry Orbach, David Ogden Stiers, Angela Lansbury, Bradley Pierce, Rex Everhart, Jesse Corti, Jo Anne Worley, Hal Smith, Mary Kay Bergman, Brian Cummings, Alvin Epstein, Tony Jay, Alec Murphy, Kimmy Robertson, Kath Soucie, Frank Welker, Jack Angel, Bruce Adler, Scott Barnes, Vanna Bonta, Maureen Brennan, Liz Callaway, Philip L. Clarke, Margery Daley, Jennifer Darling, Albert de Ruiter, George Dvorsky, Bill Farmer, Bruce Fifer, Johnson Flucker, Larry Hansen, Randy Hansen, Mary Ann Hart, Alix Korey, Phyllis Kubey, Hearndon Lackey, Sherry Lynn, Mickie McGowan, Larry Moss, Panchali Null, Wilbur Pauley, Jennifer Perito, Caroline Peyton, Patrick Pinney, Cynthia Richards-Hewes, Phil Proctor, Stephani Ryan, Gordon Stanley, Stephen Sturk, Brian Harvey",/wiki/Beauty_and_the_Beast_(1991_film)
36,1991,Q4,For the Boys,20th Century Fox,"Mark Rydell (director); Marshall Brickman, Neal Jimenez, Lindy Laub (screenplay); Bette Midler, James Caan, Arye Gross, George Segal, Patrick O'Neal, Christopher Rydell, Brandon Call, Norman Fell, Rosemary Murphy, Bud Yorkin, Dori Brenner, Jack Sheldon, Michael Greene, Melissa Manchester, Steven Kampmann",/wiki/For_the_Boys
37,1991,Q4,Hearts of Darkness: A Filmmaker's Apocalypse,American Zoetrope / Triton Pictures,"Eleanor Coppola (director); Fax Bahr, George Hickenlooper (directors/screenplay); Eleanor Coppola, Francis Ford Coppola, Robert Duvall, Dennis Hopper, George Lucas, John Milius, Martin Sheen",/wiki/Hearts_of_Darkness:_A_Filmmaker%27s_Apocalypse
38,1991,Q4,My Girl,Columbia Pictures / Imagine Entertainment,"Howard Zieff (director); Laurice Elehwany (screenplay); Dan Aykroyd, Jamie Lee Curtis, Macaulay Culkin, Anna Chlumsky, Griffin Dunne, Richard Masur, Peter Michael Goetz, Ann Nelson",/wiki/My_Girl_(film)
39,1991,Q4,At Play in the Fields of the Lord,Universal Pictures,"Héctor Babenco (director); Jean-Claude Carrière, Vincent Patrick (screenplay); Tom Berenger, John Lithgow, Daryl Hannah, Aidan Quinn, Kathy Bates, Tom Waits, Stênio Garcia, Nelson Xavier, José Dumont, Niilo Kivirinta",/wiki/At_Play_in_the_Fields_of_the_Lord
40,1991,Q4,Star Trek VI: The Undiscovered Country,Paramount Pictures,"Nicholas Meyer (director/screenplay); Denny Martin Flinn (screenplay); William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan, George Takei, Walter Koenig, Nichelle Nichols, Kim Cattrall, Christopher Plummer, David Warner, Iman, Brock Peters, René Auberjonois",/wiki/Star_Trek_VI:_The_Undiscovered_Country
41,1991,Q4,Hook,TriStar Pictures / Amblin Entertainment,"Steven Spielberg (director); James V. Hart, Malia Scotch Marmo (screenplay); Robin Williams, Dustin Hoffman, Julia Roberts, Bob Hoskins, Maggie Smith, Charlie Korsmo, Caroline Goodall, Dante Basco, Amber Scott, Jasen Fisher, Laurel Cronin, Phil Collins, Arthur Malet, Isaiah Robinson, Raushan Hammond, James Madio, Thomas Tulak, Alex Zuckerman, Ahmad Stoner, David Crosby, Jimmy Buffett, Glenn Close, Tony Burton, George Lucas, Carrie Fisher, Jake Hart",/wiki/Hook_(film)
42,1991,Q4,The Last Boy Scout,Warner Bros. Pictures / Silver Pictures,"Tony Scott (director); Shane Black (screenplay); Bruce Willis, Damon Wayans, Chelsea Field, Noble Willingham, Taylor Negron, Danielle Harris, Halle Berry, Bruce McGill, Kim Coates, Chelcie Ross, Joe Santos, Clarence Felder, Tony Longo, Frank Collison, Eddie Griffin, Billy Blanks",/wiki/The_Last_Boy_Scout
43,1991,Q4,Bugsy,TriStar Pictures / Mulholland Productions / Baltimore Pictures,"Barry Levinson (director); James Toback (screenplay); Warren Beatty, Annette Bening, Harvey Keitel, Ben Kingsley, Elliott Gould, Joe Mantegna, Bebe Neuwirth, Bill Graham, Lewis Van Bergen, Wendy Phillips, Richard C. Sarafian, Carmine Caridi, Giancarlo Scandiuzzi",/wiki/Bugsy
44,1991,Q4,Father of the Bride,Touchstone Pictures,"Charles Shyer (director); Nancy Meyers, Frances Goodrich, Albert Hackett (screenplay); Steve Martin, Diane Keaton, Kimberly Williams, Martin Short, George Newbern, Kieran Culkin, Peter Michael Goetz, Kate McGregor-Stewart, B.D. Wong, Richard Portnow, David Pasquesi, Chauncey Leopardi, Eugene Levy, Sarah Rose Karr, Ira Heiden, Britt Leach",/wiki/Father_of_the_Bride_(1991_film)
45,1991,Q4,JFK,Warner Bros. Pictures,"Oliver Stone (director/screenplay); Zachary Sklar (screenplay); Kevin Costner, Kevin Bacon, Tommy Lee Jones, Laurie Metcalf, Gary Oldman, Michael Rooker, Jay O. Sanders, Sissy Spacek, Jack Lemmon, Walter Matthau, Donald Sutherland, John Candy, Joe Pesci, Beata Pozniak, Edward Asner, Brian Doyle-Murray, Sally Kirkland, Wayne Knight, Pruitt Taylor Vince, Tony Plana, Vincent D'Onofrio, Dale Dye, Lolita Davidovich, John Larroquette, Willem Oltmans, Tomas Milian, Gary Grubbs, Ron Rifkin, Peter Maloney, John Finnegan, Wayne Tippit, Bob Gunton, Frank Whaley, Jim Garrison",/wiki/JFK_(film)
46,1991,Q4,Rush,Metro-Goldwyn-Mayer / The Zanuck Company,"Lili Fini Zanuck (director); Pete Dexter (screenplay); Jason Patric, Jennifer Jason Leigh, Sam Elliott, Max Perlich, Gregg Allman, Tony Frank, William Sadler, Dennis Letts, Dennis Burkley",/wiki/Rush_(1991_film)
47,1991,Q4,Grand Canyon,20th Century Fox,"Lawrence Kasdan (director/screenplay); Meg Kasdan (screenplay); Danny Glover, Kevin Kline, Steve Martin, Mary McDonnell, Mary-Louise Parker, Alfre Woodard, Jeremy Sisto, Tina Lifford, Randle Mell",/wiki/Grand_Canyon_(1991_film)
48,1991,Q4,The Prince of Tides,Columbia Pictures,"Barbra Streisand (director); Pat Conroy, Becky Johnston (screenplay); Nick Nolte, Barbra Streisand, Blythe Danner, Jason Gould, Melinda Dillon, Kate Nelligan, Jeroen Krabbé, George Carlin, Brad Sullivan",/wiki/The_Prince_of_Tides
49,1991,Q4,Until the End of the World,Warner Bros. Pictures,"Wim Wenders (director/screenplay); Peter Carey (screenplay); William Hurt, Solveig Dommartin, Sam Neill, Max von Sydow, Rüdiger Vogler, Ernie Dingo, Jeanne Moreau, Eddy Mitchell, Adelle Lutz, David Gulpilil, Jimmy Little, Chick Ortega, Elena Smirnova, Chishu Ryu, Allen Garfield, Lois Chiles, Kuniko Miyake",/wiki/Until_the_End_of_the_World
50,1991,Q4,Fried Green Tomatoes,Universal Pictures,"Jon Avnet (director); Fannie Flagg, Carol Sobieski (screenplay); Kathy Bates, Jessica Tandy, Mary Stuart Masterson, Mary-Louise Parker, Cicely Tyson, Chris O'Donnell, Stan Shaw, Gailard Sartain, Tim Scott, Gary Basaraba, Lois Smith, Jo Harvey Allen, Macon McCalman, Richard Riehle, Raynor Scheine, Grace Zabriskie, Nick Searcy, Constance Shulman",/wiki/Fried_Green_Tomatoes
51,1991,Q4,Naked Lunch,20th Century Fox,"David Cronenberg (director/screenplay); Peter Weller, Judy Davis, Ian Holm, Roy Scheider, Joseph Scorsiani, Julian Sands, Monique Mercure, Michael Zelniker, Nicholas Campbell, Robert A. Silverman, John Friesen, Sean McCann",/wiki/Naked_Lunch_(film)
0,1992,Q1,Kuffs,Universal Pictures,"Bruce A. Evans (director/screenplay); Raynold Gideon (screenplay); Christian Slater, Milla Jovovich, Tony Goldwyn, Bruce Boxleitner, Troy Evans, George de la Peña, Leon Rippy, Mary Ellen Trainor",/wiki/Kuffs
1,1992,Q1,The Hand That Rocks the Cradle,Hollywood Pictures,"Curtis Hanson (director); Amanda Silver (screenplay); Annabella Sciorra, Rebecca De Mornay, Matt McCoy, Ernie Hudson, Julianne Moore, John de Lancie, Madeline Zima",/wiki/The_Hand_That_Rocks_the_Cradle_(film)
2,1992,Q1,Freejack,Warner Bros. Pictures / Morgan Creek Productions,"Geoff Murphy (director); Steven Pressfield, Ronald Shusett, Dan Gilroy (screenplay); Emilio Estevez, Mick Jagger, Rene Russo, Anthony Hopkins, Jonathan Banks, Grand L. Bush, David Johansen, Amanda Plummer, Wilbur Fitzgerald, Jerry Hall",/wiki/Freejack
3,1992,Q1,Juice,Paramount Pictures,"Ernest R. Dickerson (director/screenplay); Gerard Brown (screenplay); Omar Epps, Tupac Shakur, Jermaine ""Huggy"" Hopkins, Khalil Kain, Cindy Herron, Vincent Laresca, Samuel L. Jackson, George O. Gore II, Grace Garland, Queen Latifah, Oran ""Juice"" Jones, Flex Alexander, Doctor Dré, Ed Lover, Fab 5 Freddy, Donald Faison, EPMD, Shihab Rashid",/wiki/Juice_(film)
4,1992,Q1,Love Crimes,Miramax Films,"Lizzie Borden (director); Allan Moyle, Laurie Frank (screenplay); Sean Young, Patrick Bergin, Arnetia Walker, James Read",/wiki/Love_Crimes_(1992_film)
5,1992,Q1,Hurricane Smith,Warner Bros. Pictures,"Colin Budds (director); Peter A. Kinloch, Kevin James Dobson (screenplay); Carl Weathers, Jürgen Prochnow, Cassandra Delaney, Tony Bonner, David Argue, John Ewart, Louise McDonald, Suzie MacKenzie, Karen Hall, Johnny Raaen",/wiki/Hurricane_Smith_(1992_film)
6,1992,Q1,Into the Sun,Trimark Pictures,"Fritz Kiersch (director); John Brancato, Michael Ferris (screenplay); Michael Paré, Anthony Michael Hall, Deborah Moore, Terry Kiser, Brian Haley, Michael St. Gerard, Linden Ashby, Melissa Moore",/wiki/Into_the_Sun_(1992_film)
7,1992,Q1,Shining Through,20th Century Fox,"David Seltzer (director/screenplay); Michael Douglas, Melanie Griffith, Liam Neeson, Joely Richardson, John Gielgud, Francis Guinan, Anthony Walters, Victoria Shalet, Sheila Allen, Stanley Beard, Sylvia Syms, Ronald Nitschke, Hansi Jochmann, Mathieu Carriere, William Hope, Constanze Engelbrecht, Ludwig Haas",/wiki/Shining_Through
8,1992,Q1,Voyager,Castle Hill Productions,"Volker Schlöndorff (director); Rudy Wurlitzer (screenplay); Sam Shepard, Julie Delpy, Barbara Sukowa, Dieter Kirchlechner, Traci Lind, Deborra-Lee Furness, August Zirner, Thomas Heinze, Bill Dunn, Peter Berling, Lorna Farrar, Kathleen Matiezen, Lou Cutell, Charley Hayward, Irwin Wynn, Warwick Shaw",/wiki/Voyager_(film)
9,1992,Q1,Mississippi Masala,Metro-Goldwyn-Mayer,"Mira Nair (director); Sooni Taraporevala (screenplay); Denzel Washington, Sarita Choudhury, Roshan Seth, Sharmila Tagore, Charles S. Dutton, Joe Seneca, Ranjit Chowdhry, Joseph Olita, Mohan Gokhale, Mohan Agashe, Tico Wells, Yvette Hawkins, Anjan Srivastav, Mira Nair",/wiki/Mississippi_Masala
10,1992,Q1,Final Analysis,Warner Bros. Pictures,"Wesley Strick (director/screenplay); Richard Gere, Kim Basinger, Uma Thurman, Eric Roberts, Keith David, Paul Guilfoyle, Robert Harper, George Murdock, Shirley Prestia, Tony Genaro, Harris Yulin, Wood Moy, Corey Fischer, Rico Alaniz",/wiki/Final_Analysis
11,1992,Q1,Medicine Man,Hollywood Pictures,"John McTiernan (director); Tom Schulman, Sally Robinson (screenplay); Sean Connery, Lorraine Bracco, José Wilker",/wiki/Medicine_Man_(film)
12,1992,Q1,Wayne's World,Paramount Pictures,"Penelope Spheeris (director); Mike Myers, Bonnie Turner, Terry Turner (screenplay); Mike Myers, Dana Carvey, Rob Lowe, Tia Carrere, Brian Doyle-Murray, Lara Flynn Boyle, Michael DeLuise, Dan Bell, Lee Tergesen, Kurt Fuller, Sean Gregory Sullivan, Colleen Camp, Donna Dixon, Frederick Coffin, Michael G. Hagerty, Chris Farley, Meat Loaf, Charles Noland, Robert Patrick, Ione Skye, Frank DiLeo, Carmen Filpi, Alice Cooper, Stan Mikita, Ed O'Neill, Penelope Spheeris",/wiki/Wayne%27s_World_(film)
13,1992,Q1,Radio Flyer,Columbia Pictures,"Richard Donner (director); David M. Evans (screenplay); Elijah Wood, Joseph Mazzello, Lorraine Bracco, John Heard, Adam Baldwin, Ben Johnson, Garette Ratliff, Thomas Ian Nicholas",/wiki/Radio_Flyer_(film)
14,1992,Q1,This Is My Life,20th Century Fox,"Nora Ephron (director/screenplay); Delia Ephron (screenplay); Julie Kavner, Samantha Mathis, Gaby Hoffmann, Carrie Fisher, Dan Aykroyd",/wiki/This_Is_My_Life_(1992_film)
15,1992,Q1,Stop! Or My Mom Will Shoot,Universal Pictures / Northern Lights Entertainment,"Roger Spottiswoode (director); Blake Snyder, William Osborne, William Davies (screenplay); Sylvester Stallone, Estelle Getty, JoBeth Williams, Al Fann, Roger Rees, Martin Ferrero, Gailard Sartain, John Wesley, J. Kenneth Campbell, Ving Rhames, Richard Schiff, Dennis Burkley",/wiki/Stop!_Or_My_Mom_Will_Shoot
16,1992,Q1,The Mambo Kings,Warner Bros. Pictures,"Arne Glimcher (director); Cynthia Cidre (screenplay); Armand Assante, Antonio Banderas, Cathy Moriarty, Maruschka Detmers, Desi Arnaz, Jr., Roscoe Lee Browne, Talisa Soto, Vondie Curtis-Hall, Cordelia Gonzales, Tito Puente, Helena Carroll, Celia Cruz",/wiki/The_Mambo_Kings
17,1992,Q1,Memoirs of an Invisible Man,Warner Bros. Pictures,"John Carpenter (director); Robert Collector, Dana Olsen, William Goldman (screenplay); Chevy Chase, Daryl Hannah, Sam Neill, Michael McKean, Stephen Tobolowsky, Jim Norton, Pat Skipper, Paul Perri, Richard Epcar, Steven Barr, Gregory Paul Martin, Patricia Heaton, Rosalind Chao, Shay Duffin, Sam Anderson, Ellen Albertini Dow, Rip Haight, Aaron Lustig",/wiki/Memoirs_of_an_Invisible_Man_(film)
18,1992,Q1,"For Richer, for Poorer",HBO Pictures / Citadel Entertainment,"Jay Sandrich (director); Stan Daniels (screenplay); Jack Lemmon, Talia Shire, Jonathan Silverman, Joanna Gleason, Madeline Kahn, George Wyner, Dakin Matthews, Stephen Caffrey, Hal Riddle, Charles Thomas Murphy, Rudolph Willrich, Ron Frazier, Paul Collins, Perry Moore, Ivar Brogger, James Gleason, Layla Bias Galloway, Clifton Collins Jr., Shirley Prestia, Robert Harvey, John Brennan, Joe Casino","/wiki/For_Richer,_for_Poorer_(film)"
19,1992,Q1,Blame It on the Bellboy,Hollywood Pictures,"Mark Herman (director/screenplay); Dudley Moore, Bryan Brown, Patsy Kensit, Richard Griffiths, Andreas Katsulas, Bronson Pinchot, Alison Steadman, Penelope Wilton, Jim Carter, Alex Norton, John Grillo, Ronnie Stevens, Lindsay Anderson",/wiki/Blame_It_on_the_Bellboy
20,1992,Q1,Gladiator,Columbia Pictures,"Rowdy Herrington (director); Lyle Kessler, Robert Mark Kamen (screenplay); Cuba Gooding Jr., James Marshall, Robert Loggia, Jon Seda, Brian Dennehy, Ossie Davis, T.E. Russell, Cara Buono, John Heard",/wiki/Gladiator_(1992_film)
21,1992,Q1,The Lawnmower Man,New Line Cinema,"Brett Leonard (director/screenplay); Gimel Everett (screenplay); Jeff Fahey, Pierce Brosnan, Jenny Wright, Geoffrey Lewis, Jeremy Slate, Dean Norris, Austin O'Brien, Troy Evans",/wiki/The_Lawnmower_Man_(film)
22,1992,Q1,Meatballs 4,Moviestore Entertainment,"Bob Logan (director/screenplay); Corey Feldman, Jack Nance, Sarah Douglas, Bojesse Christopher",/wiki/Meatballs_4
23,1992,Q1,Once Upon a Crime,Metro-Goldwyn-Mayer,"Eugene Levy (director); Rodolfo Sonego, Giorgio Arlorio, Stefano Strucchi, Luciano Vincenzoni, Charles Shyer, Nancy Meyers, Steve Kluger (screenplay); John Candy, James Belushi, Cybill Shepherd, Sean Young, Richard Lewis, Ornella Muti, Giancarlo Giannini, George Hamilton, Joss Ackland, Ann Way, Caterina Boratto, Elsa Martinelli, Eugene Levy",/wiki/Once_Upon_a_Crime
24,1992,Q1,Tiny Toon Adventures: How I Spent My Vacation,Warner Home Video,"Rich Arons, Ken Boyer, Kent Butterworth, Barry Caldwell, Alfred Gimeno, Art Leonardi, Byron Vaughns (directors); Paul Dini, Nicholas Hollander, Tom Ruegger, Sherri Stoner (screenplay); Charlie Adler, Tress MacNeille, Joe Alaskey, Don Messick, Jonathan Winters, Edie McClurg, Frank Welker, Cree Summer, Sorrell Booke, Rob Paulsen, Maurice LaMarche, Gail Matthius, Kath Soucie, Candi Milo, Paul Julian",/wiki/Tiny_Toon_Adventures:_How_I_Spent_My_Vacation
25,1992,Q1,American Me,Universal Pictures,"Edward James Olmos (director); Floyd Mutrux, Desmond Nakano (screenplay); Edward James Olmos, William Forsythe, Pepe Serna, Daniel A. Haro, Sal Lopez, Vira Montes, Danny De La Paz, Daniel Villarreal, Evelina Fernandez, Roberto Martin Marquez, Dyana Ortelli, Jacob Vargas, Eric Close, Rigoberto Jimenez, Cary-Hiroyuki Tagawa, Robby Robinson, Ron Thompson, Rafael H. Robledo",/wiki/American_Me
26,1992,Q1,Article 99,Orion Pictures,"Howard Deutch (director); Ron Cutler (screenplay); Ray Liotta, Kiefer Sutherland, Forest Whitaker, Lea Thompson, John Mahoney, John C. McGinley, Keith David, Kathy Baker, Eli Wallach, Troy Evans, Noble Willingham, Lynne Thigpen, Jeffrey Tambor, Rutanya Alda",/wiki/Article_99
27,1992,Q1,Howards End,Sony Pictures Classics,"James Ivory (director); Ruth Prawer Jhabvala (screenplay); Anthony Hopkins, Vanessa Redgrave, Helena Bonham Carter, Emma Thompson, James Wilby, Samuel West, Jemma Redgrave, Prunella Scales, Joseph Bennett, Adrian Ross Magenty, Jo Kendall, Ian Latimer, Simon Callow, Mary Nash, Siegbert Prawer, Susie Lindeman, Nicola Duffett, Mark Payton, Barbara Hicks, Peter Cellier, Crispin Bonham-Carter, Patricia Lawrence, Margery Mason, Peter Darling, Mark Tandy, Anne Lambton, Allie Byrne, Sally Geoghegan",/wiki/Howards_End_(film)
28,1992,Q1,My Cousin Vinny,20th Century Fox,"Jonathan Lynn (director); Dale Launer (screenplay); Joe Pesci, Marisa Tomei, Ralph Macchio, Mitchell Whitfield, Fred Gwynne, Lane Smith, Bruce McGill, Austin Pendleton, Chris Ellis, James Rebhorn, Maury Chaykin, Paulene Myers, Raynor Scheine, Michael Simpson, Lou Walker, Kenny Jones",/wiki/My_Cousin_Vinny
29,1992,Q1,Shakes the Clown,IRS Media,"Bobcat Goldthwait (director/screenplay); Bobcat Goldthwait, Julie Brown, Adam Sandler, Blake Clark, Tom Kenny, Paul Dooley, Kathy Griffin, Robin Williams, Paul Kozlowski, Dan Spencer, Jeremy Kramer, Jack Gallagher, Bruce Baum, Greg Travis, Florence Henderson, Scott Herriott, LaWanda Page, Martin Charles Warner, Johnny Silver, Tim Kazurinsky, Sydney Lassick, Tony V.",/wiki/Shakes_the_Clown
30,1992,Q1,Basic Instinct,TriStar Pictures / Carolco Pictures,"Paul Verhoeven (director); Joe Eszterhas (screenplay); Michael Douglas, Sharon Stone, George Dzundza, Jeanne Tripplehorn, Denis Arndt, Leilani Sarelle, Bruce A. Young, Chelcie Ross, Dorothy Malone, Wayne Knight, Daniel von Bargen, Stephen Tobolowsky, Benjamin Mouton, Jack McGee, Bill Cable, James Rebhorn",/wiki/Basic_Instinct
31,1992,Q1,Noises Off,Touchstone Pictures / Amblin Entertainment,"Peter Bogdanovich (director); Marty Kaplan (screenplay); Michael Caine, Carol Burnett, Denholm Elliott, Julie Hagerty, Marilu Henner, Mark Linn-Baker, Christopher Reeve, John Ritter, Nicollette Sheridan",/wiki/Noises_Off_(film)
32,1992,Q1,Proof,Fine Line Features,"Jocelyn Moorhouse (director/screenplay); Hugo Weaving, Geneviève Picot, Russell Crowe, Heather Mitchell, Jeffrey Walker, Daniel Pollock, Frankie J. Holden, Frank Gallacher, Saskia Post, Yvonne Bickerstaffe, Cliff Ellen, Tania Uren, Robert James O'Neill, Anthony Rawling, Darko Tuscan",/wiki/Proof_(1991_film)
33,1992,Q1,Raise the Red Lantern,Orion Classics,"Zhang Yimou (director); Ni Zhen (screenplay); Gong Li, Ma Jingwu, He Saifei, Cao Cuifen, Jin Shuyuan, Kong Lin, Zhou Qi, Cui Zhihgang, Xiao Chu, Cao Zhengyin, Ding Weimin",/wiki/Raise_the_Red_Lantern
34,1992,Q1,Shadows and Fog,Orion Pictures,"Woody Allen (director/screenplay); Woody Allen, Kathy Bates, John Cusack, Mia Farrow, Jodie Foster, Fred Gwynne, Julie Kavner, Madonna, John Malkovich, Kenneth Mars, Kate Nelligan, Donald Pleasence, Lily Tomlin, Philip Bosco, Charles Cragin, Robert Joy, William H. Macy, James Rebhorn, John C. Reilly, Wallace Shawn, Kurtwood Smith, Josef Sommer, David Ogden Stiers, Daniel von Bargen, Michael Kirby",/wiki/Shadows_and_Fog
35,1992,Q1,The Cutting Edge,Metro-Goldwyn-Mayer,"Paul Michael Glaser (director); Tony Gilroy (screenplay); D. B. Sweeney, Moira Kelly, Roy Dotrice, Terry O'Quinn, Dwier Brown, Chris Benson, Michael Hogan, Kevin Peeks, Rachelle Ottley, Barry Flatman, Christine Hough, Doug Ladret",/wiki/The_Cutting_Edge
36,1992,Q1,Ladybugs,Paramount Pictures,"Sidney J. Furie (director); Curtis Burch (screenplay); Rodney Dangerfield, Jackée Harry, Jonathan Brandis, Ilene Graff, Vinessa Shaw, Tom Parks, Randall May, Jeanetta Arnette, Crystal Cooke, Jennifer Frances Lee, Vanessa Monique Rossel, Johna Stewart-Bowden, Jandi Swanson, Nancy Parsons, Blake Clark, Tommy Lasorda",/wiki/Ladybugs_(film)
37,1992,Q1,The Power of One,Warner Bros. Pictures,"John G. Avildsen (director); Robert Mark Kamen (screenplay); Stephen Dorff, Armin Mueller-Stahl, John Gielgud, Morgan Freeman, Daniel Craig, Ian Roberts, Fay Masterson, Brian O'Shaughnessy, Marius Weyers, Clive Russell, Winston Ntshona, Jeremiah Mnisi, Dominic Walker, Faith Edwards, Alois Moyo, Simon Fenton",/wiki/The_Power_of_One_(film)
38,1992,Q1,Ruby,Triumph Films,"John Mackenzie (director); Stephen Davis (screenplay); Danny Aiello, Sherilyn Fenn, Arliss Howard, Marc Lawrence, Richard C. Sarafian, Tobin Bell, Joseph Cortese, Leonard Termo, David Duchovny, Carmine Caridi, Joe Viterelli, John Roselius, Willie Garson",/wiki/Ruby_(1992_film)
39,1992,Q1,White Men Can't Jump,20th Century Fox,"Ron Shelton (director/screenplay); Wesley Snipes, Woody Harrelson, Rosie Perez, Tyra Ferrell, Cylk Cozart, Kadeem Hardison, Ernest Harden Jr., John Marshall Jones, Marques Johnson, David Roberson, Kevin Benton, Nigel Miguel, Duane Martin, Bill Henderson, Sonny Craver, Jon Hendricks, Eloy Casados, Frank Rossi, Freeman Williams, Louis Price, Alex Trebek, Reggie Leon, Sarah Stavrou, Reynaldo Rey, Lanei Chapman, Torri Whitehead, Lisa McDowell, David Maxwell, Donna Howell, Don Fullilove, Johnny Gilbert, Leonard A. Oakland, Allan Malamud, Gregg Daniel, Chick Hearn, Stu Lantz, Gary Payton, John Sheehan",/wiki/White_Men_Can%27t_Jump
40,1992,Q1,The Last of His Tribe,HBO Pictures / River City Productions,"Harry Hook (director); Stephen Harrigan (screenplay); Jon Voight, Graham Greene, David Ogden Stiers, Jack Blessing, Anne Archer, Daniel Benzali, Christianne Hauber, Charles Martinet, Carl D. Parker, Angela Paton, Benne Alder, Loryn Barlese, Gilbert Bear, Neva Hutchinson, Trudy Kinerson, Beverly LaBeau, George Maguire, C.W. Morgan, Stephen Pocock, Victor Preston, Nick Scoggin, Toby Stump",/wiki/The_Last_of_His_Tribe
0,1992,Q2,Beethoven,Universal Pictures / Northern Lights Entertainment,"Brian Levant (director); John Hughes, Amy Holden Jones (screenplay); Charles Grodin, Bonnie Hunt, Dean Jones, Oliver Platt, Stanley Tucci, Nicholle Tom, Christopher Castile, Sarah Rose Karr, David Duchovny, Patricia Heaton, Laurel Cronin, Nancy Fish, Joseph Gordon-Levitt",/wiki/Beethoven_(film)
1,1992,Q2,Straight Talk,Hollywood Pictures,"Barnet Kellman (director); Craig Bolotin (screenplay); Dolly Parton, James Woods, Griffin Dunne, Michael Madsen, Philip Bosco, Jerry Orbach, Deirdre O'Connell, John Sayles, Teri Hatcher, Spalding Gray, Amy Morton, Charles Fleischer, Keith MacKechnie, Jay Thomas, Paula Newsome, Tracy Letts, John Gegenhuber",/wiki/Straight_Talk
2,1992,Q2,Thunderheart,TriStar Pictures,"Michael Apted (director); John Fusco (screenplay); Val Kilmer, Sam Shepard, Graham Greene, Fred Ward, Fred Dalton Thompson, Sheila Tousey, Ted Thin Elk, John Trudell, Julius Drum, Sarah Brave, Allan R.J. Joseph, Sylvan Pumpkin Seed, Patrick Massett, Rex Linn, Brian A. O'Meara",/wiki/Thunderheart
3,1992,Q2,Rock-a-Doodle,The Samuel Goldwyn Company / Sullivan Bluth Studios,"Don Bluth (director); David N. Weiss (screenplay); Glen Campbell, Christopher Plummer, Phil Harris, Ellen Greene, Eddie Deezen, Sandy Duncan, Charles Nelson Reilly, Sorrell Booke, Will Ryan, Toby Scott Ganger, Louise Chamis, Bob Gallico, Jake Steinfeld, T.J. Kuenster, Jim Doherty, John Drummond, Frank Kelly, Kathryn Holcomb, Stan Ivar, Christian Hoff, Jason Marin",/wiki/Rock-a-Doodle
4,1992,Q2,FernGully: The Last Rainforest,20th Century Fox,"Bill Kroyer (director); Jim Cox (screenplay); Jonathan Ward, Samantha Mathis, Tim Curry, Christian Slater, Robin Williams, Grace Zabriskie, Geoffrey Blake, Robert Pastorelli, Cheech Marin, Tommy Chong, Tone Loc, Townsend Coleman, Danny Mann, Kathleen Freeman",/wiki/FernGully:_The_Last_Rainforest
5,1992,Q2,Newsies,Walt Disney Pictures,"Kenny Ortega (director); Bob Tzudiker, Noni White (screenplay); Christian Bale, Bill Pullman, David Moscow, Luke Edwards, Robert Duvall, Ann-Margret, Ele Keats, Aaron Lohr, Max Casella, Trey Parker, Michael A. Goorjian, Gabriel Damon, Marty Belafsky, Jeffrey DeMunn, Deborra-Lee Furness, Kevin Tighe, Michael Lerner, Shon Greenblatt, David Sheinkopf, Charles Cioffi, William Boyett, Marc Lawrence, Arvie Lowe, Jr.",/wiki/Newsies
